place,lat,lon
Atlanta,33.636719,-84.428067
Los Angeles,33.942536,-118.408075
Chicago,41.978603,-87.904842
Dallas/Fort Worth,32.769167,-97.441528
New York,40.639751,-73.778925
Denver,39.861656,-104.673178
San Francisco,37.618972,-122.374889	
Charlotte,35.214,-80.943139
Las Vegas,36.080056,-115.15225	
Phoenix,33.434278,-112.011583
Miami,25.79325,-80.290556
Houston,29.984433,-95.341442
